InvoiceNo       StockCode       Quantity        InvoiceDate     CustomerID
536365  85123A  6       12/1/2010 8:26  17850
536365  71053   6       12/1/2010 8:26  17850
536365  84406B  8       12/1/2010 8:26  17850
536365  84029G  6       12/1/2010 8:26  17850
536365  84029E  6       12/1/2010 8:26  17850
536365  22752   2       12/1/2010 8:26  17850
536365  21730   6       12/1/2010 8:26  17850
536366  22633   6       12/1/2010 8:28  17850
536366  22632   6       12/1/2010 8:28  17850
536367  84879   32      12/1/2010 8:34  13047
536367  22745   6       12/1/2010 8:34  13047
536367  22748   6       12/1/2010 8:34  13047
536367  22749   8       12/1/2010 8:34  13047
536367  22310   6       12/1/2010 8:34  13047
536367  84969   6       12/1/2010 8:34  13047
536367  22623   3       12/1/2010 8:34  13047
536367  22622   2       12/1/2010 8:34  13047
536367  21754   3       12/1/2010 8:34  13047
536367  21755   3       12/1/2010 8:34  13047
536367  21777   4       12/1/2010 8:34  13047
536367  48187   4       12/1/2010 8:34  13047
536368  22960   6       12/1/2010 8:34  13047
536368  22913   3       12/1/2010 8:34  13047
536368  22912   3       12/1/2010 8:34  13047
536368  22914   3       12/1/2010 8:34  13047
536369  21756   3       12/1/2010 8:35  13047
